브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
면적변화제동등D,수준3,60,-2,3,-7.677078,7.636356,1.79701222566879,3084.0,1400.0,92
면적변화제동등D,수준3,60,-2,4,-7.677078,5.550194,-2.4500369257812498,2521.0,1948.0,103
면적변화제동등D,수준3,60,-4,1,-7.677078,4.917526,-2.760111647368421,3020.0,1447.0,72
면적변화제동등D,수준3,60,-4,2,-7.677078,5.037117,-3.0147524514285715,2777.0,1722.0,81
면적변화제동등D,수준3,60,-4,3,-7.677078,6.165314,-0.15498799813664607,3229.0,1278.0,96
면적변화제동등D,수준3,60,-4,4,-7.677078,2.171135,-2.596115337171053,3008.0,1482.0,105
면적변화제동등D,수준3,60,-6,1,-7.677078,6.582355,-3.6085141315789473,3027.0,1480.9999999999998,77
면적변화제동등D,수준3,60,-6,2,-7.677078,-3.817797,-5.048134720238095,3307.0,1160.0,88
면적변화제동등D,수준3,60,-6,3,-7.677078,7.83124,-4.488231641509435,3127.0,1523.0000000000002,95
면적변화제동등D,수준3,60,-6,4,-7.677078,4.653025,-3.9727255962987016,3081.0,1408.0,100
