참여자번호,브레이크유형,감속정도,브레이크지속시간표준편차,브레이크세기표준편차,충돌횟수
24,B밝기변화제동등,고감속,0.45074,0.24263,0
24,C점멸주파수변화제동등,저감속,0.16945,0.14702,0
24,C점멸주파수변화제동등,고감속,0.46279,0.29875,1
24,D면적변화제동등,저감속,0.34435,0.18541,0
24,D면적변화제동등,고감속,0.37556,0.30685,0
25,A기본제동등,저감속,0.17861,0.07071,0
25,A기본제동등,고감속,0.38396,0.12492,0
25,B밝기변화제동등,저감속,0.15533,0.06301,0
25,B밝기변화제동등,고감속,0.34682,0.13035,0
25,C점멸주파수변화제동등,저감속,0.25138,0.02618,0
25,C점멸주파수변화제동등,고감속,0.32622,0.11024,0
25,D면적변화제동등,저감속,0.17356,0.05731,0
25,D면적변화제동등,고감속,0.33361,0.0803,0
26,A기본제동등,저감속,0.27941,0.21246,0
26,A기본제동등,고감속,0.37072,0.3051,0
26,B밝기변화제동등,저감속,0.32139,0.22363,0
26,B밝기변화제동등,고감속,0.46589,0.34388,0
26,C점멸주파수변화제동등,저감속,0.31827,0.14937,0
26,C점멸주파수변화제동등,고감속,0.3347,0.1926,0
26,D면적변화제동등,저감속,0.17373,0.1303,0
26,D면적변화제동등,고감속,0.4132,0.24515,0
27,A기본제동등,저감속,0.1945,0.01208,0
27,A기본제동등,고감속,0.37604,0.05058,0
27,B밝기변화제동등,저감속,0.0,0.04039,0
27,B밝기변화제동등,고감속,0.20028,0.07894,0
27,C점멸주파수변화제동등,저감속,0.18853,0.04264,0
27,C점멸주파수변화제동등,고감속,0.34841,0.07641,0
27,D면적변화제동등,저감속,0.2105,0.03311,0
27,D면적변화제동등,고감속,0.42952,0.0877,0
28,A기본제동등,저감속,0.0,0.00262,2
28,A기본제동등,고감속,0.33667,0.11585,3
28,B밝기변화제동등,저감속,0.28546,0.01811,0
28,B밝기변화제동등,고감속,0.40084,0.04696,0
28,C점멸주파수변화제동등,저감속,0.0325,0.0035,0
28,C점멸주파수변화제동등,고감속,0.2345,0.03573,0
28,D면적변화제동등,저감속,0.0,0.00287,0
28,D면적변화제동등,고감속,0.305,0.04073,0
29,A기본제동등,저감속,0.29688,0.11651,0
29,A기본제동등,고감속,0.25252,0.20438,0
29,B밝기변화제동등,저감속,0.34673,0.08837,0
29,B밝기변화제동등,고감속,0.33694,0.2281,0
29,C점멸주파수변화제동등,저감속,0.46231,0.06921,0
29,C점멸주파수변화제동등,고감속,0.50508,0.19554,0
29,D면적변화제동등,저감속,0.35632,0.10076,0
29,D면적변화제동등,고감속,0.21327,0.22608,0
30,A기본제동등,저감속,0.0,0.02461,0
30,A기본제동등,고감속,0.36315,0.06577,0
30,B밝기변화제동등,저감속,0.1275,0.03921,0
30,B밝기변화제동등,고감속,0.21073,0.07813,1
30,C점멸주파수변화제동등,저감속,0.4242,0.06921,0
30,C점멸주파수변화제동등,고감속,0.44603,0.11625,0
30,D면적변화제동등,저감속,0.67635,0.08097,0
30,D면적변화제동등,고감속,0.47819,0.11296,0
