참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
12,B밝기변화제동등,6,2.903,25.54042
12,B밝기변화제동등,7,1.826,17.46392
12,B밝기변화제동등,8,2.399,26.34
12,B밝기변화제동등,9,2.053,20.57974
12,C점멸주파수변화제동등,1,2.887,26.05616
12,C점멸주파수변화제동등,2,2.746,23.14667
12,C점멸주파수변화제동등,3,1.745,21.73594
12,C점멸주파수변화제동등,4,2.381,25.45169
12,C점멸주파수변화제동등,5,2.341,48.08904
12,C점멸주파수변화제동등,6,2.376,17.55356
12,C점멸주파수변화제동등,7,2.481,27.47955
12,C점멸주파수변화제동등,8,2.879,23.46283
12,C점멸주파수변화제동등,9,2.875,26.28505
12,D면적변화제동등,1,2.896,26.87377
12,D면적변화제동등,2,2.362,20.50774
12,D면적변화제동등,3,2.319,23.48038
12,D면적변화제동등,4,2.886,18.98851
12,D면적변화제동등,5,1.884,32.76217
12,D면적변화제동등,6,2.412,23.28984
12,D면적변화제동등,7,2.363,16.70903
12,D면적변화제동등,8,2.892,17.32404
12,D면적변화제동등,9,2.169,22.35321
13,A기본제동등,1,2.343,25.48375
13,A기본제동등,2,2.845,18.47462
13,A기본제동등,3,2.401,20.78551
13,A기본제동등,4,2.872,28.09867
13,A기본제동등,5,1.952,34.04472
13,A기본제동등,6,2.73,32.47765
13,B밝기변화제동등,1,2.358,20.27819
13,B밝기변화제동등,2,1.952,33.80264
13,B밝기변화제동등,3,2.941,12.89496
13,B밝기변화제동등,4,2.894,31.78399
13,B밝기변화제동등,5,2.475,48.91386
13,B밝기변화제동등,6,2.378,19.58428
13,B밝기변화제동등,7,2.87,15.38541
13,B밝기변화제동등,8,2.459,24.57032
13,C점멸주파수변화제동등,1,2.429,36.49538
13,C점멸주파수변화제동등,2,2.902,18.56802
13,C점멸주파수변화제동등,3,2.898,22.81423
13,C점멸주파수변화제동등,4,2.418,20.02079
13,C점멸주파수변화제동등,5,2.636,20.83498
13,C점멸주파수변화제동등,6,2.346,16.51493
13,C점멸주파수변화제동등,7,1.778,17.64219
13,C점멸주파수변화제동등,8,2.272,17.9582
13,D면적변화제동등,1,2.899,21.10998
13,D면적변화제동등,2,2.386,16.66298
13,D면적변화제동등,3,2.909,18.5625
13,D면적변화제동등,4,2.442,22.69519
13,D면적변화제동등,5,1.879,22.8119
13,D면적변화제동등,6,2.338,14.37871
13,D면적변화제동등,7,2.889,24.52083
13,D면적변화제동등,8,2.479,36.03613
13,D면적변화제동등,9,2.373,9.38129
14,A기본제동등,1,2.356,10.42234
14,A기본제동등,2,1.807,13.96474
14,A기본제동등,3,2.384,10.89572
14,A기본제동등,4,2.467,14.83113
14,A기본제동등,5,2.385,9.65525
14,A기본제동등,6,2.99,18.79741
14,A기본제동등,7,2.896,4.33694
14,A기본제동등,8,1.914,17.39324
14,B밝기변화제동등,1,2.948,7.65718
14,B밝기변화제동등,2,2.435,9.68224
14,B밝기변화제동등,3,2.958,9.10273
14,B밝기변화제동등,4,2.539,9.92793
14,B밝기변화제동등,5,1.982,13.06421
14,B밝기변화제동등,6,2.424,20.64045
14,B밝기변화제동등,7,2.964,7.89688
14,B밝기변화제동등,8,1.622,4.33929
14,B밝기변화제동등,9,2.851,14.20309
14,C점멸주파수변화제동등,1,2.42,11.94765
14,C점멸주파수변화제동등,2,2.595,10.97639
14,C점멸주파수변화제동등,3,2.82,12.23779
14,C점멸주파수변화제동등,4,1.542,22.89534
14,C점멸주파수변화제동등,5,2.385,11.53921
14,C점멸주파수변화제동등,6,3.066,12.53508
14,C점멸주파수변화제동등,7,2.391,16.50894
14,C점멸주파수변화제동등,8,2.446,38.04997
14,C점멸주파수변화제동등,9,2.384,11.67321
14,D면적변화제동등,1,2.349,11.56697
