User,BrakeType,Event,Trial_no,Event_period,Speed_avg,Handle_avg,Brake_avg,Speed_std,Handle_std,Brake_std,Brake_feq,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,GSR_time_to_stable,SCR_duration_unstable,SCR_peaks,SCR_Z_avg,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks,HR_bpm,HRV_ibi,SDNN,RMSSD,pNN50,Leye_dist_avg,Reye_dist_avg,Leye_open_avg,Reye_open_avg,Leye_blink_rate,Reye_blink_rate,eye_blink_rate,Angry_avg,Disgust_avg,Fear_avg,Happy_avg,Neutral_avg,Sad_avg,Surprise_avg,Emotion1,Emotion2
21,A,1,1,263.0,,,,,,,,4.0573140368893235,2.2588337025247807,8.092338969755065,1.5622037127875503,6.530135256967515,47,-0.06907694487852048,-4.6873611222821823e-05,0.006157786231035351,0.0333243527721012,-0.0242066508992713,0.057531003671372496,431806134.0,25824,86,-0.005702156767601508,1396.6440126134125,313.118259652045,2812.454212454212,0.0,2812.454212454212,1102,70.79207920792079,847.5524475524476,108.2810173473897,70.27283689263065,0.12345679012345678,1.4902242422357028,1.6945709081127924,0.962592804111936,0.905197030268418,0.3574144486692015,0.7680608365019012,0.8897338403041825,0.12328052475014277,0.008298393121193605,0.1275979716676185,0.010782738347747003,0.49186282970588235,0.2068698328012564,0.03130771010833809,Neutral,Sad
22,B,1,1,257.0,,,,,,,,2.6723837984499554,1.4114225818035633,6.567880435476255,1.018994268297983,5.548886167178272,79,-0.12915094341961464,-0.0006170760477798859,0.00709835407319605,0.0936698036762657,-0.074178375552619,0.1678481792288847,518559053.0,58851,147,0.04889915305465873,1394.858634934536,280.9879531707604,2777.289377289377,0.0,2777.289377289377,2080,65.04201680672269,922.4806201550388,155.13950215305442,141.96010621201012,0.366412213740458,1.3199913709832904,1.4365386442541006,0.9461331281262024,0.9272797229703732,1.0,1.4124513618677044,1.8365758754863812,0.12952156796639736,0.008386018259139412,0.13746021688854687,0.012977132194286263,0.45142617160664356,0.22063906353571888,0.03958982976334487,Neutral,Sad
23,C,1,1,264.0,,,,,,,,3.972705884043244,1.8903475681784387,7.101686866507247,1.5716092568020663,5.530077609705181,41,0.0629155759166428,3.215931170483599e-05,0.0058222341155631085,0.0369723610767613,-0.0163787611069254,0.053351122183686706,431922077.0,20159,65,-0.014797833867279179,1397.587702800973,327.21016228699665,2812.454212454212,0.0,2812.454212454212,1069,86.92098092643052,690.282131661442,107.4041762635029,137.70607453181927,0.3907407407407407,1.4915027489118837,1.5800378862541036,0.9491703976823809,0.9420595206742165,0.5265151515151515,0.6401515151515151,0.7613636363636364,0.11228035468527785,0.008430965892897024,0.1289465896765868,0.013149609603784567,0.5128132450126416,0.18581108634342902,0.038568148706715835,Neutral,Sad
24,D,1,1,259.0,,,,,,,,3.020983165188287,2.2028304648325614,7.183139056612963,1.060692038887611,6.122447017725352,38,-0.05983753342098875,-0.0002645106327499644,0.004791360885983618,0.0436613282201883,-0.0164942959141092,0.060155624134297495,518439252.0,30643,96,0.009519070566759626,1396.5872282294179,284.27595212266186,2808.7912087912086,0.0,2808.7912087912086,1195,63.80597014925373,940.3508771929825,167.3945325175658,124.72191289246472,0.3888888888888889,1.4834727648046409,1.6109091164394198,0.959989539748954,0.9364539748953975,0.5212355212355212,0.6640926640926641,0.806949806949807,0.12912862009937237,0.008850529632805963,0.13497656764304394,0.010525438059581591,0.45592728171129704,0.22216188371966528,0.03842968034241632,Neutral,Sad
25,A,1,1,248.0,,,,,,,,3.111600570606705,3.198973457980235,12.3674151044515,0.5941103237506767,11.773304780700823,57,-0.10591285157545852,-0.0003940446277865059,0.004998877795188263,0.0260825740850672,-0.0195533178410149,0.0456358919260821,1123264417.0,64365,144,0.02746523314691445,1390.4737480860674,236.72666147471293,2551.648351648352,0.0,2551.648351648352,1606,63.12,950.5703422053232,165.88757071165077,191.78532059415366,0.367816091954023,1.7834533489399187,1.738764648882478,0.9856032906764168,0.9677787934186471,0.12903225806451613,0.3548387096774194,0.3790322580645161,0.15041136320635284,0.010033142669458409,0.13600516699085924,0.005760272028777423,0.42123554962957044,0.24341931117184645,0.03313519462568556,Neutral,Sad
26,B,1,1,239.0,,,,,,,,2.312539094746677,1.4395484481018237,4.828624077594125,0.6715155886377616,4.157108488956363,35,-0.1208851078249721,-0.0004781934762662721,0.005003324939640141,0.0275776760503927,-0.0145186729487789,0.0420963489991716,32002.0,27980,81,0.0312907455320348,1388.5884083967148,275.822621180328,2780.9523809523807,0.0,2780.9523809523807,904,64.91596638655463,924.2718446601941,142.42423938557087,144.7493728911492,0.38095238095238093,1.3539354550322316,1.4409449221609671,0.9869590989922941,0.970954356846473,0.0502092050209205,0.13389121338912133,0.14644351464435146,0.20374004510314167,0.022227246339063422,0.18578118883995257,0.016847291199407234,0.2788613547255483,0.25635960954949616,0.03618326383236515,Sad,Sad
27,C,1,1,242.0,,,,,,,,3.317264323149944,3.4084913804405716,10.391451761963928,0.7754216337313854,9.616030128232543,53,0.02381315579814926,-0.00024822776894763257,0.0039830406788519245,0.0199252051302805,-0.0151669126034663,0.0350921177337468,1123273612.0,36536,111,-0.022141018631652864,1393.5359549896993,211.68194492452628,2173.6263736263736,0.0,2173.6263736263736,1389,57.770270270270274,1038.5964912280701,87.36771647711393,108.94095588038444,0.2967032967032967,1.4290111286693619,1.4952147115230452,0.9922305764411028,0.9761904761904762,0.10330578512396695,0.2892561983471074,0.3140495867768595,0.14924124105213032,0.010400851773170426,0.1409953177007519,0.01162601238257143,0.4174898611122807,0.2336115338997494,0.03663518321501254,Neutral,Sad
28,D,1,1,245.0,,,,,,,,3.3894390865046833,3.085211871284625,11.959004990363876,0.7121798062564612,11.246825184107415,51,0.009023906652466416,-0.00046738167603694827,0.0059973608035872135,0.050892807803315,-0.0202294208485032,0.0711222286518182,1123208201.0,39211,115,-0.003301981105100476,1393.4537547121292,245.05894266727444,2747.985347985348,0.0,2747.985347985348,1745,63.05220883534136,951.5923566878981,179.02961913484324,214.50026269051634,0.35751295336787564,1.8340481496179037,1.779775077832121,0.9792236194641881,0.9511572808456351,0.27755102040816326,0.7020408163265306,0.8081632653061225,0.15036207044833244,0.011527462139586296,0.1464742657807545,0.010260345193446327,0.41189342334955353,0.2306090244660106,0.03887340865802807,Neutral,Sad
29,A,1,1,257.0,,,,,,,,1.3378325960880668,0.49278553525803603,2.428269649172768,0.7086293667451542,1.719640282427614,14,0.0916706331852143,-0.0004571873943710619,0.0025256060027816344,0.0127643839800409,-0.0091927444950254,0.021957128475066298,345858689.0,11503,43,-0.08663654387748852,1396.0714285714284,340.5851979640199,2812.454212454212,0.0,2812.454212454212,479,69.78998384491115,859.7222222222222,122.6554820786687,97.27469142278402,0.23655913978494625,1.716441730422485,1.6686511594730418,0.9575,0.9466666666666667,0.3852140077821012,0.4785992217898833,0.5097276264591439,0.12197730813249999,0.006617582420541666,0.13355541761166667,0.0056163264722874995,0.4291938461537501,0.22102424901916667,0.082015269849125,Neutral,Sad
30,B,1,1,269.0,,,,,,,,1.225183556923651,0.4473324757418884,2.102691561498704,0.70559394540649,1.3970976160922142,32,0.046569733704422196,0.00015643785929410356,0.003752833372565361,0.0282524968768332,-0.0122312457736829,0.0404837426505161,345733833.0,28345,59,-0.02036985496351482,1403.6468705782784,331.17621413830193,2812.454212454212,0.0,2812.454212454212,570,61.518324607329845,975.3191489361702,166.7824556290579,131.7171119876284,0.41566265060240964,1.5785213926600483,1.5375639036309472,0.9681966028189375,0.9573545355981207,0.3048327137546468,0.40148698884758366,0.44981412639405205,0.10969197485327069,0.0070637989674412725,0.1529467611441995,0.008623823348698953,0.357316143996386,0.18368468599873508,0.18067281180845682,Neutral,Sad
31,C,1,1,268.0,,,,,,,,1.4057664740730462,0.5386569056464913,2.8206404513024723,0.7537389852407392,2.066901466061733,15,0.1685572730217482,-0.00031924338598880215,0.003822967143563116,0.021398228583296,-0.011356820390507,0.032755048973803,345618072.0,22468,33,-0.04145754241010237,1405.3176260968467,351.03896799133605,2812.454212454212,0.0,2812.454212454212,516,68.18181818181819,880.0,132.664991614216,92.93203772845851,0.2159090909090909,1.717587786508554,1.7058454606227298,0.9502784407319014,0.9478918058870326,0.3358208955223881,0.4216417910447761,0.44776119402985076,0.12956258560023867,0.0072253320723945896,0.13699769185123312,0.007040678919976133,0.3831754118325378,0.22550205693158312,0.11049624380027845,Neutral,Sad
32,D,1,1,281.0,,,,,,,,2.8998604338267717,1.2205056100821277,4.981768280174309,1.4483319801692316,3.5334363000050777,26,-0.006091419472930749,0.00023450317705831232,0.006015920153425704,0.0226824813129928,-0.0144460146350833,0.0371284959480761,123535.0,23485,39,0.002154545019540061,1398.3342887824886,464.0873922706828,2812.454212454212,0.0,2812.454212454212,618,69.75308641975309,860.1769911504425,109.3341253910124,163.29931618554522,0.5333333333333333,1.338721219612232,1.3960099496596554,0.975,0.9621212121212122,0.19217081850533807,0.29537366548042704,0.3096085409252669,0.13588433322159088,0.00803000408844697,0.14378722470719696,0.0045920065293901515,0.4189976430250001,0.22628833470530305,0.06242045344579546,Neutral,Sad
