timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
1272117,2024-10-15,11:02:15,1728957735651 ,4.791259844,-0.418744392,-0.005105232,-0.079165489,1395.604396,0.17295207,0.015489974,0.19572218,0.015097423,0.29552275,0.25875267,0.04646303,Neutral,341,187,427,188,0,0
1278670,2024-10-15,11:02:15,1728957735893 ,4.791259844,-0.418744392,0,0.008408249,1358.974359,0.14576916,0.011527621,0.18472975,0.012174085,0.35832337,0.22693986,0.06053612,Neutral,339,182,429,185,1,1
1285223,2024-10-15,11:02:16,1728957736103 ,4.78104938,-0.428480813,-0.010210463,-0.166739226,1518.681319,0.13229519,0.010590662,0.19120573,0.014478673,0.36288193,0.20465262,0.08389516,Neutral,338,182,429,185,1,1
1304882,2024-10-15,11:02:16,1728957736660 ,4.770838917,-0.438217235,0,0.008408249,1379.487179,0.10973038,0.007718402,0.1677087,0.0170145,0.43351164,0.1901217,0.07419468,Neutral,337,182,429,185,1,1
1311435,2024-10-15,11:02:16,1728957736870 ,4.760628454,-0.447953656,-0.010210463,-0.166739226,1460.07326,0.11795466,0.008802393,0.1791264,0.015292734,0.4027736,0.1937543,0.08229592,Neutral,336,181,428,184,1,1
1324541,2024-10-15,11:02:17,1728957737301 ,4.745312759,-0.462558289,-0.010210463,-0.166739226,1339.194139,0.11260405,0.008113686,0.17235407,0.015777694,0.4225234,0.19019638,0.078430764,Neutral,337,183,429,185,1,1
1331094,2024-10-15,11:02:17,1728957737497 ,4.740207528,-0.467426499,-0.005105232,-0.079165489,1444.688645,0.10954209,0.007959385,0.17565945,0.016011046,0.41911206,0.18251851,0.08919741,Neutral,338,181,430,184,1,1
1337647,2024-10-15,11:02:17,1728957737646 ,4.729997064,-0.477162921,-0.010210463,-0.166739226,1388.278388,0.11731916,0.008714655,0.17860435,0.015164947,0.4047634,0.19310607,0.082327366,Neutral,338,182,429,185,1,1
1344200,2024-10-15,11:02:17,1728957737876 ,4.724891833,-0.482031131,-0.005105232,-0.079165489,1363.369963,0.12223089,0.008915775,0.17614195,0.012874391,0.40561983,0.20132492,0.07289224,Neutral,338,182,430,186,1,1
1350753,2024-10-15,11:02:18,1728957738073 ,4.71468137,-0.491767553,-0.010210463,-0.166739226,1329.67033,0.12750499,0.009665226,0.17951056,0.013762293,0.39196306,0.20633166,0.071262196,Neutral,338,182,430,185,1,1
1357306,2024-10-15,11:02:18,1728957738262 ,4.709576138,-0.496635764,-0.005105232,-0.079165489,1400.732601,0.13334331,0.01033184,0.18374792,0.0130667,0.37684673,0.21093614,0.071727425,Neutral,339,182,431,185,1,1
1363859,2024-10-15,11:02:18,1728957738463 ,4.699365675,-0.506372185,-0.010210463,-0.166739226,1390.47619,0.13130456,0.010150742,0.18169227,0.013706537,0.3833423,0.20967507,0.07012851,Neutral,340,182,431,185,1,1
1370412,2024-10-15,11:02:18,1728957738716 ,4.694260443,-0.511240396,-0.005105232,-0.079165489,1366.300366,0.12462089,0.009501722,0.18223523,0.01425664,0.38959083,0.20103313,0.07876155,Neutral,340,182,431,185,1,1
1376965,2024-10-15,11:02:18,1728957738894 ,4.689155212,-0.516108607,-0.005105232,-0.079165489,1341.391941,0.1648693,0.014669356,0.19933513,0.014512099,0.30688938,0.24125253,0.05847226,Neutral,342,186,430,187,1,0
1383518,2024-10-15,11:02:19,1728957739090 ,4.68404998,-0.520976817,-0.005105232,-0.079165489,1450.549451,0.121908866,0.008935181,0.1758706,0.013747674,0.40535113,0.20180489,0.072381645,Neutral,338,182,430,185,1,1
1390071,2024-10-15,11:02:19,1728957739277 ,4.678944749,-0.525845028,-0.005105232,-0.079165489,1369.96337,0.12128466,0.008608985,0.1729491,0.012605554,0.41213852,0.20338178,0.069031455,Neutral,339,182,430,186,1,1
1409730,2024-10-15,11:02:19,1728957739858 ,4.663629054,-0.54044966,-0.005105232,-0.079165489,1478.388278,0.11133652,0.008014863,0.17385212,0.015041636,0.42186713,0.18653783,0.08334987,Neutral,338,182,429,185,1,1
